Ticker,TrendTier,Price,AVWAP_Floor,Stop_Loss,Dist%,R1_Trim,R2_Target,RS,Sector,Anchor
PPTA,A,31.05,29.48,28.22,5.34,31.45,31.84,0.15948,Materials,Gap4%
CMI,A,562.18,539.58,536.91,4.19,567.9,573.61,0.077437,Industrials,SwingLow20
RDDT,A,244.02,243.1,234.3,0.38,250.39,256.76,0.07176,Communication,SwingLow20
HUBG,A,47.16,44.96,44.63,4.9,47.73,48.31,0.064834,Industrials,SwingLow20
KNX,A,56.75,55.64,54.74,1.99,57.12,57.49,0.05067,Industrials,SwingLow20
LUV,A,43.85,42.01,42.41,4.38,44.18,44.51,0.048444,Industrials,VolBreakout
CHRW,A,172.54,165.9,165.01,4.0,174.03,175.51,0.037322,Industrials,VolBreakout
JBHT,A,206.33,203.38,201.65,1.45,207.96,209.59,0.031855,Industrials,SwingLow20
PRIM,A,134.24,128.8,122.13,4.22,136.34,138.45,0.027671,Industrials,Gap4%
FLS,A,73.84,70.52,70.82,4.71,74.45,75.07,0.026787,Industrials,Gap4%
WAB,A,226.48,219.79,216.49,3.04,227.7,228.92,0.021887,Industrials,SwingLow20
AXTA,A,32.99,32.44,31.52,1.71,33.23,33.47,0.012987,Materials,YTD
SPHR,A,94.78,92.51,90.72,2.45,95.88,96.99,-0.000286,Communication,SwingLow20
UAL,A,115.29,115.03,113.81,0.23,116.34,117.38,-0.004511,Industrials,SwingLow20
IAC,A,39.64,39.46,38.1,0.46,40.0,40.35,-0.01196,Communication,VolBreakout
CARG,A,38.71,38.31,37.6,1.05,39.28,39.85,-0.01332,Communication,SwingLow20
NYT,A,70.53,70.49,69.97,0.05,71.2,71.86,-0.015451,Communication,SwingLow20
