Ticker,Direction,Price,AVWAP,AVWAP_Slope,RS,DistFromAVWAP%,Anchor,AvgDollarVol20,SMA20,SMA50,ATR14,ATR%,ATR%_P50_120d,Sector
SATS,Long,112.18,107.74,0.993834,0.513433,4.12,Gap4%,622062305.0,101.79,83.84,4.5471,4.05,4.5,Communication
ATI,Long,119.2,114.97,0.87394,0.209853,3.68,VolBreakout,159748635.0,110.24,102.35,2.6943,2.26,3.33,Industrials
ROKU,Long,108.72,106.85,0.701668,0.167385,1.75,SwingLow20,306892147.0,107.53,102.54,3.6071,3.32,3.94,Communication
WBD,Long,28.51,27.99,0.06729,0.158459,1.86,SwingLow20,1872639925.0,28.41,24.94,0.62,2.17,3.67,Communication
LUV,Long,41.3,40.35,0.145359,0.155612,2.34,SwingLow20,457441716.0,40.5,35.69,0.9993,2.42,3.23,Industrials
OMC,Long,81.32,78.3,0.434897,0.143453,3.85,SwingLow20,429922740.0,78.75,76.03,1.6221,1.99,2.62,Communication
SARO,Long,29.64,28.95,0.041899,0.142945,2.37,VolBreakout,40756014.0,28.07,27.24,0.7099,2.39,2.85,Industrials
ALK,Long,51.52,50.55,0.026643,0.133653,1.92,VolBreakout,151055106.0,51.03,45.63,1.5507,3.01,3.85,Industrials
GEV,Long,679.55,658.44,3.869251,0.126978,3.21,Gap4%,2338501380.0,659.81,609.81,25.9632,3.82,4.18,Industrials
AMR,Long,203.06,196.04,1.327421,0.121283,3.58,SwingLow20,47476526.0,194.94,176.18,9.3192,4.59,5.18,Materials
MGNI,Long,16.06,16.04,0.056945,0.11493,0.11,SwingLow20,34730925.0,16.04,15.92,0.5614,3.5,5.18,Communication
CNXC,Long,41.21,39.64,0.424207,0.113996,3.97,SwingLow20,38792129.0,40.01,38.83,1.1673,2.83,3.91,Industrials
XMTR,Long,62.76,60.29,0.185819,0.111459,4.09,Gap4%,44196954.0,61.06,58.4,3.2192,5.13,5.31,Industrials
LMT,Long,497.07,481.81,4.756469,0.110612,3.17,VolBreakout,602834441.0,476.45,471.56,9.0914,1.83,1.87,Industrials
FOX,Long,65.96,63.47,0.341866,0.109849,3.92,SwingLow20,84990327.0,63.56,60.07,1.0084,1.53,2.31,Communication
RTX,Long,187.25,183.65,0.591844,0.109707,1.96,VolBreakout,760972504.0,179.91,177.08,2.9714,1.59,1.83,Industrials
FOXA,Long,73.76,71.45,0.355426,0.108109,3.24,SwingLow20,241560914.0,71.8,67.29,1.3002,1.76,2.3,Communication
GVA,Long,118.67,114.43,0.675353,0.10727,3.71,SwingLow20,78424156.0,114.64,107.9,2.5671,2.16,2.23,Industrials
TEX,Long,55.03,53.16,0.241536,0.10579,3.51,VolBreakout,61586466.0,52.75,49.74,1.3421,2.44,3.43,Industrials
RGLD,Long,221.12,220.08,1.195432,0.100174,0.47,SwingLow20,214300699.0,219.28,198.85,6.1786,2.79,2.82,Materials
REVG,Long,62.29,59.93,0.442446,0.099994,3.95,SwingLow20,36987009.0,59.84,56.29,1.3613,2.19,3.11,Industrials
IE,Long,16.35,15.98,0.249998,0.09763,2.32,VolBreakout,25771264.0,15.53,14.26,0.8367,5.12,6.61,Materials
SW,Long,39.6,37.95,0.234477,0.094447,4.34,SwingLow20,178506771.0,37.76,37.04,0.7311,1.85,2.86,Materials
ATRO,Long,56.61,54.8,0.191622,0.092649,3.3,VolBreakout,32193864.0,53.62,51.33,2.0729,3.66,4.67,Industrials
NXST,Long,208.84,202.9,0.375952,0.091962,2.93,SwingLow20,57414624.0,202.12,195.03,4.8293,2.31,2.78,Communication
BALL,Long,53.35,51.45,0.332935,0.091787,3.7,SwingLow20,133248162.0,51.12,49.47,0.8357,1.57,2.07,Materials
ALSN,Long,98.94,97.91,0.238291,0.091119,1.05,SwingLow20,97698862.0,98.11,89.32,1.7421,1.76,2.45,Industrials
CMC,Long,71.79,70.08,0.33175,0.088141,2.44,VolBreakout,73398168.0,69.61,63.95,1.4779,2.06,2.77,Materials
CRS,Long,338.34,324.16,0.578642,0.087938,4.37,VolBreakout,311882579.0,321.04,317.78,10.5471,3.12,3.81,Industrials
R,Long,194.18,191.03,0.372792,0.086005,1.65,SwingLow20,72552599.0,191.64,178.3,4.0907,2.11,2.52,Industrials
NYT,Long,69.82,68.43,0.282747,0.08564,2.03,SwingLow20,123733828.0,68.48,64.11,0.9979,1.43,1.78,Communication
OI,Long,15.16,14.82,0.029957,0.084061,2.3,SwingLow20,34025278.0,14.84,13.58,0.3421,2.26,3.27,Materials
FDX,Long,293.13,289.12,1.631112,0.081961,1.39,Gap4%,486029001.0,286.07,270.52,5.5707,1.9,2.39,Industrials
MATX,Long,123.71,122.55,0.269913,0.081756,0.95,SwingLow20,39180697.0,121.96,111.39,2.8607,2.31,2.92,Industrials
WLK,Long,74.15,73.13,0.21065,0.077274,1.4,SwingLow20,112134919.0,72.74,69.05,2.2564,3.04,4.03,Materials
HUBB,Long,463.03,449.14,3.409728,0.07657,3.09,VolBreakout,204521597.0,446.55,443.25,10.7828,2.33,2.52,Industrials
NSP,Long,38.62,38.51,0.025041,0.071773,0.29,SwingLow20,45735624.0,37.85,37.58,1.1143,2.89,3.65,Industrials
SCCO,Long,148.69,144.21,0.836034,0.070978,3.11,SwingLow20,150979377.0,144.17,137.05,4.1371,2.78,3.12,Materials
SON,Long,44.37,42.94,0.21521,0.070617,3.34,SwingLow20,37713663.0,42.77,41.52,0.6757,1.52,2.3,Materials
