Ticker,Setup,Score,TriggerOK,Direction,Price,AVWAP,AVWAP_Slope,RS,DistFromAVWAP%,Anchor,AvgDollarVol20,SMA20,SMA50,ATR14,ATR%,ATR%_P50_120d,TrendTier,PBT_SMA50,PBT_SMA_SLOW,PBT_EMA20,PBT_EMA9,PBT_RSI14,PBT_ATR14,PBT_TouchedEMA20,PBT_NotBroken,PBT_ATRContracting,PBT_RS_Ratio,Sector
ATI,AVWAP_ANCHOR,0.155328,True,Long,122.3,117.34,2.373048,0.155328,4.23,VolBreakout,161033031.0,115.14,105.38,3.4964,2.86,3.33,,,,,,,,,,,,Industrials
GE,AVWAP_ANCHOR,0.12152,True,Long,321.59,309.06,4.870014,0.12152,4.05,SwingLow20,1449372497.0,310.74,303.51,7.58,2.36,2.38,,,,,,,,,,,,Industrials
AXTA,AVWAP_ANCHOR,0.118386,True,Long,33.02,32.08,0.208461,0.118386,2.92,SwingLow20,107801356.0,32.22,30.27,0.6298,1.91,2.65,,,,,,,,,,,,Materials
SMG,AVWAP_ANCHOR,0.1127,True,Long,61.77,59.23,0.811483,0.1127,4.29,VolBreakout,47823364.0,58.75,56.58,1.6121,2.61,2.91,,,,,,,,,,,,Materials
SARO,AVWAP_ANCHOR,0.110511,True,Long,30.78,29.65,0.694014,0.110511,3.82,VolBreakout,45119676.0,29.0,27.42,0.6876,2.23,2.85,,,,,,,,,,,,Industrials
WWD,AVWAP_ANCHOR,0.097147,True,Long,321.99,313.47,5.623262,0.097147,2.72,VolBreakout,177687028.0,308.42,288.75,8.175,2.54,2.61,,,,,,,,,,,,Industrials
CCK,AVWAP_ANCHOR,0.087416,True,Long,104.53,102.19,0.521841,0.087416,2.29,SwingLow20,132363030.0,102.52,99.26,2.02,1.93,2.04,,,,,,,,,,,,Materials
UAL,AVWAP_ANCHOR,0.076481,True,Long,117.32,113.49,1.173665,0.076481,3.38,SwingLow20,440559616.0,113.03,103.98,2.73,2.33,3.48,,,,,,,,,,,,Industrials
VRRM,AVWAP_ANCHOR,0.075316,True,Long,23.18,22.27,0.038903,0.075316,4.07,Gap4%,28712298.0,22.37,22.3,0.4318,1.86,2.47,,,,,,,,,,,,Industrials
GVA,AVWAP_ANCHOR,0.074297,True,Long,120.91,117.05,1.060042,0.074297,3.3,SwingLow20,86903988.0,117.43,109.51,2.6664,2.21,2.24,,,,,,,,,,,,Industrials
IE,AVWAP_ANCHOR,0.073111,True,Long,16.75,16.2,0.226116,0.073111,3.36,VolBreakout,26768678.0,15.89,14.39,0.8909,5.32,6.61,,,,,,,,,,,,Materials
ROAD,AVWAP_ANCHOR,0.067252,True,Long,115.03,111.12,0.44394,0.067252,3.52,SwingLow20,55213924.0,111.42,109.38,4.3376,3.77,4.01,,,,,,,,,,,,Industrials
CHRW,AVWAP_ANCHOR,0.066066,True,Long,170.77,164.47,1.321978,0.066066,3.83,SwingLow20,264040998.0,163.65,157.45,2.9514,1.73,2.24,,,,,,,,,,,,Industrials
DD,AVWAP_ANCHOR,0.057144,True,Long,43.81,42.3,1.787251,0.057144,3.56,SwingLow20,198341117.0,41.46,39.87,0.8093,1.85,2.37,,,,,,,,,,,,Materials
PPG,AVWAP_ANCHOR,0.056958,True,Long,107.41,103.87,0.445757,0.056958,3.41,SwingLow20,177782729.0,103.96,100.28,1.9036,1.77,2.05,,,,,,,,,,,,Materials
RS,AVWAP_ANCHOR,0.056512,True,Long,308.83,296.23,2.218351,0.056512,4.25,SwingLow20,89972554.0,295.98,284.76,5.8907,1.91,2.27,,,,,,,,,,,,Materials
AVY,AVWAP_ANCHOR,0.051369,True,Long,188.4,182.61,0.343661,0.051369,3.17,SwingLow20,127668385.0,182.67,176.96,3.205,1.7,1.96,,,,,,,,,,,,Materials
ALSN,AVWAP_ANCHOR,0.049713,True,Long,104.25,99.82,0.537238,0.049713,4.44,SwingLow20,88169267.0,99.89,91.15,2.11,2.02,2.43,,,,,,,,,,,,Industrials
BCPC,AVWAP_ANCHOR,0.049658,True,Long,160.27,157.17,0.024879,0.049658,1.97,VolBreakout,32434873.0,156.9,155.0,3.105,1.94,2.21,,,,,,,,,,,,Materials
CLH,AVWAP_ANCHOR,0.048831,True,Long,253.42,245.14,6.108653,0.048831,3.38,SwingLow20,85981074.0,241.45,227.59,4.9314,1.95,2.07,,,,,,,,,,,,Industrials
FCN,AVWAP_ANCHOR,0.047224,True,Long,176.55,175.87,0.362809,0.047224,0.38,VolBreakout,52205212.0,174.48,168.74,3.5793,2.03,2.06,,,,,,,,,,,,Industrials
