Ticker,AvgDollarVol20,Setup,Direction,TrendTier,Score,TriggerOK,Price,RS,PBT_SMA50,PBT_SMA_SLOW,PBT_EMA20,PBT_EMA9,PBT_RSI14,PBT_ATR14,PBT_TouchedEMA20,PBT_NotBroken,PBT_ATRContracting,PBT_RS_Ratio,AVWAP,AVWAP_Slope,DistFromAVWAP%,Anchor,SMA20,SMA50,ATR14,ATR%,ATR%_P50_120d,Sector
AXTA,107801356.0,AVWAP_ANCHOR,Long,,0.118386,True,33.02,0.118386,,,,,,,,,,,32.43,0.012479,1.82,YTD,32.22,30.27,0.6298,1.91,2.65,Materials
CCK,132363030.0,AVWAP_ANCHOR,Long,,0.087416,True,104.53,0.087416,,,,,,,,,,,102.19,0.51327,2.29,SwingLow20,102.52,99.26,2.02,1.93,2.04,Materials
FCN,52205212.0,AVWAP_ANCHOR,Long,,0.047224,True,176.55,0.047224,,,,,,,,,,,174.28,0.319961,1.3,SwingLow20,174.48,168.74,3.5793,2.03,2.06,Industrials
AAL,857893704.0,AVWAP_ANCHOR,Long,,0.043706,True,15.99,0.043706,,,,,,,,,,,15.63,0.7265,2.3,SwingLow20,15.58,14.32,0.5021,3.14,3.6,Industrials
EXPD,179424396.0,AVWAP_ANCHOR,Long,,0.037382,True,158.89,0.037382,,,,,,,,,,,155.82,3.283132,1.97,SwingLow20,152.8,145.2,2.4564,1.55,2.03,Industrials
AME,273381779.0,AVWAP_ANCHOR,Long,,0.037299,True,210.64,0.037299,,,,,,,,,,,206.53,0.922261,1.99,SwingLow20,206.74,200.38,3.0236,1.44,1.7,Industrials
OI,37989972.0,AVWAP_ANCHOR,Long,,0.034925,True,15.48,0.034925,,,,,,,,,,,15.18,2.040981,1.98,SwingLow20,15.12,13.88,0.4264,2.75,3.2,Materials
WTS,52443551.0,AVWAP_ANCHOR,Long,,0.033028,True,287.44,0.033028,,,,,,,,,,,282.03,1.619946,1.92,SwingLow20,281.56,276.07,5.5243,1.92,2.07,Industrials
TPC,31449416.0,AVWAP_ANCHOR,Long,,0.031525,True,70.53,0.031525,,,,,,,,,,,69.06,0.804461,2.13,SwingLow20,69.13,66.68,2.4086,3.41,3.86,Industrials
CMC,87087882.0,AVWAP_ANCHOR,Long,,0.029104,True,72.46,0.029104,,,,,,,,,,,71.36,1.826196,1.54,SwingLow20,71.06,65.17,1.8571,2.56,2.77,Materials
SNA,94456673.0,AVWAP_ANCHOR,Long,,0.026908,True,362.17,0.026908,,,,,,,,,,,355.89,2.228748,1.76,SwingLow20,351.72,344.19,6.1429,1.7,1.79,Industrials
DAL,476694952.0,AVWAP_ANCHOR,Long,,0.021598,True,72.31,0.021598,,,,,,,,,,,71.53,3.386206,1.09,SwingLow20,70.73,64.87,1.5043,2.08,3.15,Industrials
DOV,209620899.0,AVWAP_ANCHOR,Long,,0.019194,True,201.89,0.019194,,,,,,,,,,,200.39,2.382169,0.75,SwingLow20,199.14,189.96,3.2379,1.6,1.85,Industrials
XMTR,46291907.0,AVWAP_ANCHOR,Long,,0.014339,True,62.89,0.014339,,,,,,,,,,,62.64,1.95843,0.4,SwingLow20,62.59,60.02,3.3379,5.31,5.32,Industrials
LECO,65142965.0,AVWAP_ANCHOR,Long,,0.008522,True,252.34,0.008522,,,,,,,,,,,246.96,2.023596,2.18,SwingLow20,245.64,238.05,5.0857,2.02,2.3,Industrials
JBTM,71942388.0,AVWAP_ANCHOR,Long,,0.002128,True,156.04,0.002128,,,,,,,,,,,153.85,0.522325,1.42,VolBreakout,154.4,144.44,3.6614,2.35,2.97,Industrials
CAT,1540898587.0,PULLBACK_TREND,Long,A,0.557892,True,617.62,-0.008747,579.74,482.74,593.79,602.57,60.73,13.6293,True,True,True,,,,,,,,,,,Industrials
